year,month,tmean
1886,Aug,-0.5809051394462585
1886,Sep,-0.8957123756408691
1886,Oct,-0.6250907182693481
1886,Nov,-0.020547213032841682
1886,Dec,1.7785615921020508
1887,Jan,-2.258573293685913
1887,Feb,-0.18971684575080872
1887,Mar,-1.6521477699279785
1887,Apr,-0.11751106381416321
1887,May,-1.2621055841445923
1887,Jun,-0.6723583936691284
1887,Jul,-1.5875645875930786
1887,Aug,-1.1075161695480347
1887,Sep,-0.761959969997406
1887,Oct,-1.0492687225341797
1887,Nov,-1.8187018632888794
1887,Dec,-2.5339064598083496
1888,Jan,1.9700639247894287
1888,Feb,0.8555549383163452
1888,Mar,1.5254535675048828
1888,Apr,-3.6175413131713867
1888,May,0.29835906624794006
1888,Jun,-1.0795873403549194
1888,Jul,-0.9973483681678772
1888,Aug,-0.2847575545310974
1888,Sep,0.04882396385073662
1888,Oct,0.47295865416526794
1888,Nov,-0.5856972932815552
1888,Dec,1.5582164525985718
1889,Jan,3.360299825668335
1889,Feb,2.8187458515167236
1889,Mar,2.331000566482544
1889,Apr,0.9815348386764526
1889,May,0.7677924633026123
1889,Jun,0.3270767033100128
1889,Jul,-0.19299568235874176
1889,Aug,-0.19264020025730133
1889,Sep,-0.7128946185112
1889,Oct,0.20384494960308075
1889,Nov,-0.3521830141544342
1889,Dec,-0.6627861261367798
1890,Jan,1.3998950719833374
1890,Feb,0.18217326700687408
1890,Mar,-0.38564181327819824
1890,Apr,-2.4984586238861084
1890,May,-0.7954246997833252
1890,Jun,-1.7787930965423584
1890,Jul,-0.832310140132904
1890,Aug,-0.8336524963378906
1890,Sep,-0.6077656149864197
1890,Oct,-0.29519766569137573
1890,Nov,-0.127358540892601
1890,Dec,-0.7713810801506042
1891,Jan,1.9991097450256348
1891,Feb,0.48501554131507874
1891,Mar,1.0258506536483765
1891,Apr,0.14695759117603302
1891,May,-0.7000324130058289
1891,Jun,0.8310530781745911
1891,Jul,0.6044524312019348
1891,Aug,-0.06853000074625015
1891,Sep,-0.9038111567497253
1891,Oct,-0.6330501437187195
1891,Nov,-0.8304387331008911
1891,Dec,0.5368372201919556
1892,Jan,1.8249820470809937
1892,Feb,0.8649619817733765
1892,Mar,-0.7181895971298218
1892,May,0.8014006018638611
1892,Jun,0.08203289657831192
1892,Jul,-0.0884203091263771
1892,Aug,-0.2499978393316269
1892,Sep,-1.0710170269012451
1892,Oct,1.1076364517211914
1892,Nov,-6.455498695373535
1892,Dec,5.933856964111328
1893,Jan,-2.4212591648101807
1893,Feb,5.663147449493408
1893,Mar,1.949461817741394
1893,Apr,1.6865427494049072
1893,May,3.6656389236450195
1893,Jun,-0.03793065622448921
1893,Jul,0.11339295655488968
1893,Aug,0.06337809562683105
1893,Sep,-0.7402065992355347
1893,Oct,0.44142016768455505
1893,Nov,-1.6629140377044678
1893,Dec,-3.6014318466186523
1894,Jan,-4.391461372375488
1894,Feb,-3.0530059337615967
1894,Mar,1.5329957008361816
1894,Apr,-4.828112602233887
1894,May,-2.525308132171631
1894,Jun,-0.37875640392303467
1894,Jul,-1.6466350555419922
1894,Aug,0.36321908235549927
1894,Sep,-0.4902644455432892
1894,Oct,-1.096232533454895
1894,Nov,-2.4375758171081543
1894,Dec,2.7004079818725586
1895,Jan,-0.9109938144683838
1895,Feb,0.4957154393196106
1895,Mar,1.6197506189346313
1895,Apr,-2.1558356285095215
1895,May,0.9143982529640198
1895,Jun,-0.4387754797935486
1895,Jul,-0.26068341732025146
1895,Aug,-0.8055073022842407
1895,Sep,-1.8583614826202393
1895,Oct,-0.09998734295368195
1895,Nov,0.37052470445632935
1895,Dec,-0.5539442896842957
1896,Jan,-5.465243816375732
1896,Feb,-6.154163837432861
1896,Mar,0.4273858070373535
1896,Apr,-1.5083235502243042
1896,May,-1.6862343549728394
1896,Jun,-0.4754694998264313
1896,Jul,-1.5269360542297363
1896,Aug,-0.9997648596763611
1896,Sep,1.6956849098205566
1896,Oct,1.7618310451507568
1896,Nov,0.45618242025375366
1896,Dec,-1.6514838933944702
1897,Jan,0.21704956889152527
1897,Feb,0.8865916728973389
1897,Mar,-3.106552839279175
1897,Apr,-1.3388142585754395
1897,May,0.08627912402153015
1897,Jun,2.618412733078003
1897,Jul,-1.5491230487823486
1897,Aug,-0.893433690071106
1897,Sep,-4.256529808044434
1897,Oct,-3.762136697769165
1897,Nov,-0.037234798073768616
1897,Dec,5.971945762634277
1898,Jan,1.9116766452789307
1898,Feb,-0.9403244853019714
1898,Mar,4.716280937194824
1898,Apr,2.9268617630004883
1898,May,-0.4198954403400421
1898,Jun,0.2624872326850891
1898,Jul,-1.9744927883148193
1898,Aug,-0.721171498298645
1898,Sep,-0.6196580529212952
1898,Oct,-2.6148681640625
1898,Nov,-4.878012657165527
1898,Dec,2.176424026489258
1899,Jan,0.18150010704994202
1899,Feb,-3.290412187576294
1899,Mar,-0.2638898491859436
1899,Apr,-0.041272226721048355
1899,May,1.0413970947265625
1899,Jun,1.3497010469436646
1899,Jul,0.43477731943130493
1899,Aug,0.20163151621818542
1899,Sep,-0.033413805067539215
1899,Oct,-0.04087667912244797
1899,Nov,0.4114736020565033
1899,Dec,-0.584549069404602
1900,Jan,-2.4703586101531982
1900,Feb,0.4273982048034668
1900,Mar,2.4878337383270264
1900,Apr,1.1326677799224854
1900,May,-0.21529196202754974
1900,Jun,0.7250901460647583
1900,Jul,0.5085585117340088
1900,Aug,-1.0993882417678833
1900,Sep,1.0040074586868286
1900,Oct,-0.7753902673721313
1900,Nov,-1.2787901163101196
1900,Dec,0.8619318604469299
1901,Jan,-1.5942950248718262
1901,Feb,0.33597639203071594
1901,Mar,-1.911256194114685
1901,Apr,-1.223807692527771
1901,May,-2.980748414993286
1901,Jun,0.31396496295928955
1901,Jul,0.4408029019832611
1901,Aug,-0.6853494048118591
1901,Sep,1.1483014822006226
1901,Oct,1.3527978658676147
1901,Nov,-0.8567730188369751
1901,Dec,1.9230070114135742
1902,Jan,-1.2704792022705078
1902,Feb,5.347635746002197
1902,Mar,-6.013733863830566
1902,Apr,0.5112622976303101
1902,May,0.5865690112113953
1902,Jun,1.495484709739685
1902,Jul,1.1037507057189941
1902,Aug,0.7742686867713928
1902,Sep,0.9283080101013184
1902,Oct,5.5736870765686035
1902,Nov,-2.139491319656372
1902,Dec,-0.658518373966217
1903,Jan,-2.1295340061187744
1903,Feb,3.296847105026245
1903,Mar,4.297591686248779
1903,Apr,-0.7332885265350342
1903,May,-0.8812577724456787
1903,Jun,0.6093149781227112
1903,Jul,-0.8283559679985046
1903,Aug,0.5915234088897705
1903,Sep,-0.18964792788028717
1903,Oct,-3.349149465560913
1903,Nov,-2.2877395153045654
1903,Dec,4.9020795822143555
1904,Jan,-2.1359918117523193
1904,Feb,-1.0610082149505615
1904,Mar,2.46936297416687
