year,month,prcp
1912,May,18.996999740600586
1912,Jun,0
1912,Jul,0
1912,Aug,0
1912,Sep,0
1912,Oct,6.013999938964844
1912,Nov,8.902000427246094
1912,Dec,3.8440001010894775
1913,Jan,39.112998962402344
1913,Feb,103.0770034790039
1913,Mar,15.793000221252441
1913,Apr,14.659000396728516
1913,May,12.814000129699707
1913,Jun,8.043999671936035
1913,Jul,16.386999130249023
1913,Aug,3.8889999389648438
1913,Sep,0
1913,Oct,0
1913,Nov,44.47100067138672
1913,Dec,43.77799987792969
1914,Jan,151.46499633789063
1914,Feb,90.03900146484375
1914,Mar,14.053999900817871
1914,Apr,12.423999786376953
1914,May,10.11400032043457
1914,Jun,0.7070000171661377
1914,Jul,0
1914,Aug,0
1914,Sep,0.5889999866485596
1914,Oct,7.929999828338623
